date,sale
2012-01,965
2012-02,650
2012-03,745
2012-04,759
2012-05,863
2012-06,679
2012-07,891
2012-08,606
2012-09,767
2012-10,841
2012-11,1044
2012-12,679
2013-01,1555
2013-02,825
2013-03,686
2013-04,826
2013-05,1169
2013-06,701
2013-07,927
2013-08,775
2013-09,891
2013-10,906
2013-11,905
2013-12,738
2014-01,1073
2014-02,759
2014-03,759
2014-04,702
2014-05,723
2014-06,671
2014-07,722
2014-08,687
2014-09,927
2014-10,737
2014-11,871
2014-12,664
2015-01,1204
2015-02,745
2015-03,723
2015-04,649
2015-05,657
2015-06,547
2015-07,613
2015-08,555
2015-09,796
2015-10,694
2015-11,643
2015-12,694
2016-01,948
2016-02,474
2016-03,562
2016-04,496
2016-05,373
2016-06,511
2016-07,505
2016-08,605
2016-09,687
2016-10,708
2016-11,606
2016-12,1102
2017-01,795
2017-02,410
2017-03,715
2017-04,548
2017-05,569
2017-06,554
2017-07,621
2017-08,584
2017-09,584
2017-10,329
