t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
163.0,421.0,409.0,581.0,355.0,527.0,1138.0,1300.0,245.0,725.0,409.0,500.0,56.0
421.0,409.0,581.0,355.0,527.0,1138.0,1300.0,245.0,725.0,409.0,500.0,56.0,79.0
409.0,581.0,355.0,527.0,1138.0,1300.0,245.0,725.0,409.0,500.0,56.0,79.0,410.0
581.0,355.0,527.0,1138.0,1300.0,245.0,725.0,409.0,500.0,56.0,79.0,410.0,-206.0
355.0,527.0,1138.0,1300.0,245.0,725.0,409.0,500.0,56.0,79.0,410.0,-206.0,118.0
527.0,1138.0,1300.0,245.0,725.0,409.0,500.0,56.0,79.0,410.0,-206.0,118.0,83.0
1138.0,1300.0,245.0,725.0,409.0,500.0,56.0,79.0,410.0,-206.0,118.0,83.0,-373.0
1300.0,245.0,725.0,409.0,500.0,56.0,79.0,410.0,-206.0,118.0,83.0,-373.0,319.0
245.0,725.0,409.0,500.0,56.0,79.0,410.0,-206.0,118.0,83.0,-373.0,319.0,472.0
725.0,409.0,500.0,56.0,79.0,410.0,-206.0,118.0,83.0,-373.0,319.0,472.0,11.0
409.0,500.0,56.0,79.0,410.0,-206.0,118.0,83.0,-373.0,319.0,472.0,11.0,510.0
500.0,56.0,79.0,410.0,-206.0,118.0,83.0,-373.0,319.0,472.0,11.0,510.0,272.0
56.0,79.0,410.0,-206.0,118.0,83.0,-373.0,319.0,472.0,11.0,510.0,272.0,400.0
79.0,410.0,-206.0,118.0,83.0,-373.0,319.0,472.0,11.0,510.0,272.0,400.0,-54.0
410.0,-206.0,118.0,83.0,-373.0,319.0,472.0,11.0,510.0,272.0,400.0,-54.0,-92.0
-206.0,118.0,83.0,-373.0,319.0,472.0,11.0,510.0,272.0,400.0,-54.0,-92.0,-1.0
118.0,83.0,-373.0,319.0,472.0,11.0,510.0,272.0,400.0,-54.0,-92.0,-1.0,-37.0
83.0,-373.0,319.0,472.0,11.0,510.0,272.0,400.0,-54.0,-92.0,-1.0,-37.0,9.0
-373.0,319.0,472.0,11.0,510.0,272.0,400.0,-54.0,-92.0,-1.0,-37.0,9.0,837.0
319.0,472.0,11.0,510.0,272.0,400.0,-54.0,-92.0,-1.0,-37.0,9.0,837.0,-355.0
472.0,11.0,510.0,272.0,400.0,-54.0,-92.0,-1.0,-37.0,9.0,837.0,-355.0,-200.0
11.0,510.0,272.0,400.0,-54.0,-92.0,-1.0,-37.0,9.0,837.0,-355.0,-200.0,390.0
510.0,272.0,400.0,-54.0,-92.0,-1.0,-37.0,9.0,837.0,-355.0,-200.0,390.0,-118.0
272.0,400.0,-54.0,-92.0,-1.0,-37.0,9.0,837.0,-355.0,-200.0,390.0,-118.0,-763.0
400.0,-54.0,-92.0,-1.0,-37.0,9.0,837.0,-355.0,-200.0,390.0,-118.0,-763.0,-201.0
-54.0,-92.0,-1.0,-37.0,9.0,837.0,-355.0,-200.0,390.0,-118.0,-763.0,-201.0,574.0
-92.0,-1.0,-37.0,9.0,837.0,-355.0,-200.0,390.0,-118.0,-763.0,-201.0,574.0,9.0
-1.0,-37.0,9.0,837.0,-355.0,-200.0,390.0,-118.0,-763.0,-201.0,574.0,9.0,-37.0
-37.0,9.0,837.0,-355.0,-200.0,390.0,-118.0,-763.0,-201.0,574.0,9.0,-37.0,1.0
9.0,837.0,-355.0,-200.0,390.0,-118.0,-763.0,-201.0,574.0,9.0,-37.0,1.0,-29.0
837.0,-355.0,-200.0,390.0,-118.0,-763.0,-201.0,574.0,9.0,-37.0,1.0,-29.0,-9.0
-355.0,-200.0,390.0,-118.0,-763.0,-201.0,574.0,9.0,-37.0,1.0,-29.0,-9.0,347.0
-200.0,390.0,-118.0,-763.0,-201.0,574.0,9.0,-37.0,1.0,-29.0,-9.0,347.0,128.0
390.0,-118.0,-763.0,-201.0,574.0,9.0,-37.0,1.0,-29.0,-9.0,347.0,128.0,256.0
-118.0,-763.0,-201.0,574.0,9.0,-37.0,1.0,-29.0,-9.0,347.0,128.0,256.0,792.0
-763.0,-201.0,574.0,9.0,-37.0,1.0,-29.0,-9.0,347.0,128.0,256.0,792.0,-1692.0
-201.0,574.0,9.0,-37.0,1.0,-29.0,-9.0,347.0,128.0,256.0,792.0,-1692.0,-782.0
574.0,9.0,-37.0,1.0,-29.0,-9.0,347.0,128.0,256.0,792.0,-1692.0,-782.0,-729.0
9.0,-37.0,1.0,-29.0,-9.0,347.0,128.0,256.0,792.0,-1692.0,-782.0,-729.0,-518.0
-37.0,1.0,-29.0,-9.0,347.0,128.0,256.0,792.0,-1692.0,-782.0,-729.0,-518.0,-537.0
1.0,-29.0,-9.0,347.0,128.0,256.0,792.0,-1692.0,-782.0,-729.0,-518.0,-537.0,-81.0
-29.0,-9.0,347.0,128.0,256.0,792.0,-1692.0,-782.0,-729.0,-518.0,-537.0,-81.0,684.0
